347,-2.71,1
348,-3.92,2
349,-4.25,2
350,-4.94,2
351,-3.04,1
352,-5.01,2
353,-3.04,1
354,-4.71,2
355,-5.44,2
356,-3.46,1
357,-2.93,1
358,-2.75,1
359,-4.10,2
360,-2.88,1
361,-4.33,2
362,-4.95,2
363,-5.85,2
364,-3.57,1
365,-3.09,1
366,-2.75,1
367,-4.63,2
